epoch,accuracy,loss,val_accuracy,val_loss
0,0.03703703731298447,3.5840494632720947,0.03365384787321091,3.5404138565063477
1,0.043895747512578964,3.494913339614868,0.0625,3.484988212585449
2,0.06721536070108414,3.4092111587524414,0.10576923191547394,3.362440586090088
3,0.09190671890974045,3.3443896770477295,0.13942307233810425,3.3199892044067383
4,0.08779149502515793,3.276080846786499,0.125,3.251471996307373
5,0.1179698184132576,3.2529947757720947,0.17307692766189575,3.2140629291534424
6,0.1316872388124466,3.1875107288360596,0.1586538404226303,3.1689295768737793
7,0.13305898010730743,3.0983219146728516,0.14903846383094788,3.146749973297119
8,0.13717420399188995,3.0422744750976562,0.1586538404226303,3.110827922821045
9,0.16735254228115082,2.9626970291137695,0.20673076808452606,2.975019693374634
10,0.1454046666622162,2.965884208679199,0.20192307233810425,2.992029905319214
11,0.18106995522975922,2.8513896465301514,0.16826923191547394,2.971050500869751
12,0.1975308656692505,2.8229427337646484,0.19230769574642181,2.967499256134033
13,0.201646089553833,2.7174484729766846,0.2163461595773697,2.9448370933532715
14,0.26200273633003235,2.636320114135742,0.18269230425357819,2.9082095623016357
15,0.2606309950351715,2.5735018253326416,0.18269230425357819,3.3046860694885254
16,0.2537722885608673,2.550283670425415,0.23557692766189575,2.8618083000183105
17,0.2537722885608673,2.5044426918029785,0.26923078298568726,2.7543258666992188
18,0.28257888555526733,2.3974111080169678,0.25961539149284363,2.8439128398895264
19,0.3127571940422058,2.415285587310791,0.2788461446762085,2.6947553157806396
